section,group,metric,value
scope,all,n_institutions,47.0
endpoint,all,ai_addressed_rate,0.6383
endpoint,all,prohibition_rate,0.2128
endpoint,all,detector_surveillance_rate,0.234
endpoint,all,misconduct_framing_rate,0.3404
endpoint,all,sanction_rate,0.0426
endpoint,all,permitted_use_rate,0.2128
endpoint,all,disclosure_rate,0.2128
endpoint,all,appeal_rate,0.0851
endpoint,all,l2_protection_rate,0.0426
endpoint,all,mean_net_restrictiveness,0.2766
endpoint,all,mean_ai_governance_intensity,1.383
change,all,n_with_baseline,47.0
change,all,ai_addressed_baseline,0.1915
change,all,ai_addressed_endpoint,0.6383
change,all,prohibition_delta,0.2128
change,all,detector_surveillance_delta,0.2128
change,all,misconduct_framing_delta,0.3191
change,all,sanction_delta,0.0426
change,all,permitted_use_delta,0.2128
change,all,disclosure_delta,0.2128
change,all,appeal_delta,0.0426
change,all,l2_protection_delta,0.0213
regime,all,Silent,17.0
regime,all,Mixed,15.0
regime,all,Restrictive-leaning,12.0
regime,all,Procedural-leaning,3.0
regime,control=Private,Mixed,8.0
regime,control=Private,Silent,7.0
regime,control=Private,Restrictive-leaning,6.0
regime,control=Private,Procedural-leaning,2.0
regime,control=Public,Silent,10.0
regime,control=Public,Mixed,7.0
regime,control=Public,Restrictive-leaning,6.0
regime,control=Public,Procedural-leaning,1.0
regime,carnegie=BAC,Silent,4.0
regime,carnegie=M,Silent,2.0
regime,carnegie=M,Mixed,2.0
regime,carnegie=R1,Mixed,13.0
regime,carnegie=R1,Restrictive-leaning,12.0
regime,carnegie=R1,Silent,11.0
regime,carnegie=R1,Procedural-leaning,3.0
regime,exposure=low,mean_net_restrictiveness,0.375
regime,exposure=low,ai_addressed_rate,0.5625
regime,exposure=mid,mean_net_restrictiveness,0.2667
regime,exposure=mid,ai_addressed_rate,0.4667
regime,exposure=high,mean_net_restrictiveness,0.1875
regime,exposure=high,ai_addressed_rate,0.875
