institution,unitid,state,control,carnegie,quarter,event_q,post,intl_share,total_enroll,ai_addressed,n_ai_terms,text_len,prohibition_present,detector_surveillance_present,misconduct_framing_present,sanction_present,permitted_use_present,disclosure_present,appeal_present,l2_protection_present,restrictive_idx,procedural_idx,net_restrictiveness,ai_governance_intensity
Arizona State University,104151,AZ,Public,R1,2021Q1,-7,0,0.145,80065,0,0.0,1185.0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona State University,104151,AZ,Public,R1,2021Q2,-6,0,0.145,80065,0,0.0,1064.0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona State University,104151,AZ,Public,R1,2021Q3,-5,0,0.145,80065,0,0.0,1064.0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona State University,104151,AZ,Public,R1,2021Q4,-4,0,0.145,80065,0,0.0,1068.0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona State University,104151,AZ,Public,R1,2022Q1,-3,0,0.145,80065,0,0.0,1081.0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona State University,104151,AZ,Public,R1,2022Q2,-2,0,0.145,80065,0,0.0,1081.0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona State University,104151,AZ,Public,R1,2022Q3,-1,0,0.145,80065,0,0.0,1057.0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona State University,104151,AZ,Public,R1,2022Q4,0,1,0.145,80065,0,0.0,1057.0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona State University,104151,AZ,Public,R1,2023Q1,1,1,0.145,80065,0,0.0,801.0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona State University,104151,AZ,Public,R1,2023Q2,2,1,0.145,80065,1,37.0,1001.0,0,0,1,0,1,1,0,0,1,2,-1,3
Arizona State University,104151,AZ,Public,R1,2023Q3,3,1,0.145,80065,1,54.0,1191.0,1,0,1,0,1,1,0,0,2,2,0,4
Arizona State University,104151,AZ,Public,R1,2023Q4,4,1,0.145,80065,1,54.0,1191.0,1,0,1,0,1,1,0,0,2,2,0,4
Arizona State University,104151,AZ,Public,R1,2024Q1,5,1,0.145,80065,1,54.0,1191.0,1,0,1,0,1,1,0,0,2,2,0,4
Arizona State University,104151,AZ,Public,R1,2024Q2,6,1,0.145,80065,1,54.0,1189.0,1,0,1,0,1,1,0,0,2,2,0,4
Arizona State University,104151,AZ,Public,R1,2024Q3,7,1,0.145,80065,1,54.0,1189.0,1,0,1,0,1,1,0,0,2,2,0,4
Arizona State University,104151,AZ,Public,R1,2024Q4,8,1,0.145,80065,1,54.0,1189.0,1,0,1,0,1,1,0,0,2,2,0,4
University of California-Davis,110644,CA,Public,R1,2021Q1,-7,0,0.1546,39679,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
University of California-Davis,110644,CA,Public,R1,2021Q2,-6,0,0.1546,39679,0,0.0,1144.0,0,0,0,0,0,0,0,0,0,0,0,0
University of California-Davis,110644,CA,Public,R1,2021Q3,-5,0,0.1546,39679,0,0.0,1144.0,0,0,0,0,0,0,0,0,0,0,0,0
