institution,unitid,state,control,carnegie,page_type,timestamp,statuscode,digest,original_url,archived_url,local_path,bytes
Curtin University,9000001,AU,Public,R2,integrity,20220802113308,200,ESJD35LN67QHHPOE5PC7MGW3ZTD626V6,https://www.curtin.edu.au/about/governance/academic-integrity/,,data/snapshots_raw/9000001/integrity/www_curtin_edu_au_about_governance_academic_integrity__20220802113308.html,233093
Curtin University,9000001,AU,Public,R2,integrity,20220812154058,200,DU5OZ3EOHMRTYVW5KY6QWX343L46ZDC2,https://www.curtin.edu.au/about/governance/academic-integrity/,,data/snapshots_raw/9000001/integrity/www_curtin_edu_au_about_governance_academic_integrity__20220812154058.html,230191
Curtin University,9000001,AU,Public,R2,integrity,20221024224543,200,BROPIYSJIA3XOBUKZNRWPPHFB5T6WNZE,https://www.curtin.edu.au/about/governance/academic-integrity/,,data/snapshots_raw/9000001/integrity/www_curtin_edu_au_about_governance_academic_integrity__20221024224543.html,231365
Curtin University,9000001,AU,Public,R2,integrity,20221204155855,200,WD6MCRT2VWM5ZOOHZRS2QKF22KGHOMQ7,https://www.curtin.edu.au/about/governance/academic-integrity/,,data/snapshots_raw/9000001/integrity/www_curtin_edu_au_about_governance_academic_integrity__20221204155855.html,250053
Curtin University,9000001,AU,Public,R2,integrity,20230306103413,200,PBQIUK7K65TYGXHLEG6WD2PSL6GEPCIP,https://www.curtin.edu.au/about/governance/academic-integrity/,,data/snapshots_raw/9000001/integrity/www_curtin_edu_au_about_governance_academic_integrity__20230306103413.html,37483
Curtin University,9000001,AU,Public,R2,integrity,20230331222122,200,OY4DOF7MQDMO4DNQMLLBYJCUVHKDF63I,https://www.curtin.edu.au/about/governance/academic-integrity/,,data/snapshots_raw/9000001/integrity/www_curtin_edu_au_about_governance_academic_integrity__20230331222122.html,247426
Curtin University,9000001,AU,Public,R2,integrity,20230528200941,200,WACCG6I5OVOSVMZZCZGVDRR3ECFGR4XR,https://www.curtin.edu.au/about/governance/academic-integrity/,,data/snapshots_raw/9000001/integrity/www_curtin_edu_au_about_governance_academic_integrity__20230528200941.html,274606
Curtin University,9000001,AU,Public,R2,integrity,20230927181848,200,RAMUQHDVS3U7EPHLNVAM3F6LE6A6HPNJ,http://www.curtin.edu.au/about/governance/academic-integrity/,,data/snapshots_raw/9000001/integrity/www_curtin_edu_au_about_governance_academic_integrity__20230927181848.html,287679
Curtin University,9000001,AU,Public,R2,integrity,20231117023507,200,RIC3KEXROVKURV77QB2RS2NXCQIUXMQ6,https://www.curtin.edu.au/about/governance/academic-integrity/,,data/snapshots_raw/9000001/integrity/www_curtin_edu_au_about_governance_academic_integrity__20231117023507.html,304145
Curtin University,9000001,AU,Public,R2,integrity,20240109103646,200,NUN7C4OY6VQK6RUICPUO74WVA3MVXH3M,https://www.curtin.edu.au/about/governance/academic-integrity/,,data/snapshots_raw/9000001/integrity/www_curtin_edu_au_about_governance_academic_integrity__20240109103646.html,54504
Curtin University,9000001,AU,Public,R2,integrity,20240327232112,200,LSK2BL546LWZPYB3CG2BUYJW6GQDBLAB,https://www.curtin.edu.au/about/governance/academic-integrity/,,data/snapshots_raw/9000001/integrity/www_curtin_edu_au_about_governance_academic_integrity__20240327232112.html,278890
Curtin University,9000001,AU,Public,R2,integrity,20240501234444,200,VOLLH23B6Y65R2IAUV4S2PWJ2IJ7RP3C,https://www.curtin.edu.au/about/governance/academic-integrity/,,data/snapshots_raw/9000001/integrity/www_curtin_edu_au_about_governance_academic_integrity__20240501234444.html,311094
Curtin University,9000001,AU,Public,R2,integrity,20240722082525,200,APFZQ7NFUBLG73NY3Z3ZUEPDJZRYZZYN,https://www.curtin.edu.au/about/governance/academic-integrity/,,data/snapshots_raw/9000001/integrity/www_curtin_edu_au_about_governance_academic_integrity__20240722082525.html,62434
Curtin University,9000001,AU,Public,R2,integrity,20240908232145,200,RVXA7CILQNYOQWZQ7NLIPX7FTUP6GRDB,https://www.curtin.edu.au/about/governance/academic-integrity/,,data/snapshots_raw/9000001/integrity/www_curtin_edu_au_about_governance_academic_integrity__20240908232145.html,366363
Curtin University,9000001,AU,Public,R2,integrity,20241126232936,200,UM35VDCC5KYEIB5Y46VCLT5IADACTUGJ,https://www.curtin.edu.au/about/governance/academic-integrity/,,data/snapshots_raw/9000001/integrity/www_curtin_edu_au_about_governance_academic_integrity__20241126232936.html,48641
Curtin University,9000001,AU,Public,R2,integrity,20241231085301,200,VIWZDMUVFVVHHFOM3XCERAXK5SCZMYUB,https://www.curtin.edu.au/about/governance/academic-integrity/,,data/snapshots_raw/9000001/integrity/www_curtin_edu_au_about_governance_academic_integrity__20241231085301.html,61639
Griffith University,9000002,AU,Public,R2,integrity,20210306141843,200,BAFXIU2GGZZ2KTP4MALEUJCE647E3RHR,https://www.griffith.edu.au/academic-integrity,,data/snapshots_raw/9000002/integrity/www_griffith_edu_au_academic_integrity__20210306141843.html,80791
Griffith University,9000002,AU,Public,R2,integrity,20210623081533,200,5DHU3GW7QBNRWBQTPPFUUNDMUCEV4FWR,https://www.griffith.edu.au/academic-integrity,,data/snapshots_raw/9000002/integrity/www_griffith_edu_au_academic_integrity__20210623081533.html,31437
Griffith University,9000002,AU,Public,R2,integrity,20220119132405,200,3LGJ345A6EMGDZGG5JXDBPDDJ7UQYUNI,https://www.griffith.edu.au/academic-integrity,,data/snapshots_raw/9000002/integrity/www_griffith_edu_au_academic_integrity__20220119132405.html,31435
Griffith University,9000002,AU,Public,R2,integrity,20220324122206,200,JGIA56OQ2GPTN5BN3JCOBS76VSK3EIP7,https://www.griffith.edu.au/academic-integrity,,data/snapshots_raw/9000002/integrity/www_griffith_edu_au_academic_integrity__20220324122206.html,31994
Griffith University,9000002,AU,Public,R2,integrity,20221113224519,200,FYX3RJLBRRC2XYA3FEOZGJVVTAYIE6HW,https://www.griffith.edu.au/academic-integrity,,data/snapshots_raw/9000002/integrity/www_griffith_edu_au_academic_integrity__20221113224519.html,32133
Griffith University,9000002,AU,Public,R2,integrity,20221115070746,200,K2ZVW5EAURX4QDESD3H3FABXPOJASOE5,https://www.griffith.edu.au/academic-integrity,,data/snapshots_raw/9000002/integrity/www_griffith_edu_au_academic_integrity__20221115070746.html,32135
Griffith University,9000002,AU,Public,R2,integrity,20230306041530,200,YLYIIPKPM3BUYDTYCRAG546QZHWCKUN2,https://www.griffith.edu.au/academic-integrity,,data/snapshots_raw/9000002/integrity/www_griffith_edu_au_academic_integrity__20230306041530.html,8659
Griffith University,9000002,AU,Public,R2,integrity,20230425012503,200,HMIVALKMEMRXXZT2FAA7QTQM2CXCX774,https://www.griffith.edu.au/academic-integrity,,data/snapshots_raw/9000002/integrity/www_griffith_edu_au_academic_integrity__20230425012503.html,7246
Griffith University,9000002,AU,Public,R2,integrity,20240118100221,200,AVQ6P3PJMZCELIRYUVDYA7AL65NQXC5W,https://www.griffith.edu.au/academic-integrity,,data/snapshots_raw/9000002/integrity/www_griffith_edu_au_academic_integrity__20240118100221.html,7829
Griffith University,9000002,AU,Public,R2,ai,20210124164337,200,AJDKBVPRNFV5PGP7UX62IZXEBCEOY2LM,https://www.griffith.edu.au/academic-integrity/why-ai-matters,,data/snapshots_raw/9000002/ai/www_griffith_edu_au_academic_integrity_why_ai_matters__20210124164337.html,79191
Griffith University,9000002,AU,Public,R2,ai,20210924184110,200,UDFU54MRENQXCZSDBP3EI44XUD65UDVL,https://www.griffith.edu.au/academic-integrity/why-ai-matters,,data/snapshots_raw/9000002/ai/www_griffith_edu_au_academic_integrity_why_ai_matters__20210924184110.html,30177
Griffith University,9000002,AU,Public,R2,ai,20230522013513,200,3OMUGD5YMQFQPOEGORSS4F44JRWB5PX2,https://www.griffith.edu.au/academic-integrity/why-ai-matters,,data/snapshots_raw/9000002/ai/www_griffith_edu_au_academic_integrity_why_ai_matters__20230522013513.html,7368
Griffith University,9000002,AU,Public,R2,ai,20231215040526,200,6DYK4DRVM6XQXHEC4H2PKR5IKGPSFQE5,https://www.griffith.edu.au/academic-integrity/why-ai-matters,,data/snapshots_raw/9000002/ai/www_griffith_edu_au_academic_integrity_why_ai_matters__20231215040526.html,32302
University of Sydney,9000003,AU,Public,R1,integrity,20210227161621,200,YLMEITWVKZLIXINOKH34EDXGTJD4UREN,https://www.sydney.edu.au/students/academic-integrity.html,,data/snapshots_raw/9000003/integrity/www_sydney_edu_au_students_academic_integrity_html__20210227161621.html,104320
University of Sydney,9000003,AU,Public,R1,integrity,20210725190624,200,Z3XUGQHKDRSVAROZTA6J3RRFHCPKPSK4,https://www.sydney.edu.au/students/academic-integrity.html,,data/snapshots_raw/9000003/integrity/www_sydney_edu_au_students_academic_integrity_html__20210725190624.html,106246
University of Sydney,9000003,AU,Public,R1,integrity,20211125132139,200,YJ63LZOETJARHANZ3LDG7SDPAW2DOF5D,https://www.sydney.edu.au/students/academic-integrity.html,,data/snapshots_raw/9000003/integrity/www_sydney_edu_au_students_academic_integrity_html__20211125132139.html,106365
University of Sydney,9000003,AU,Public,R1,integrity,20220120191019,200,3365PWFJA6YDNJOKF26ERMBYO6LX2LZJ,https://www.sydney.edu.au/students/academic-integrity.html,,data/snapshots_raw/9000003/integrity/www_sydney_edu_au_students_academic_integrity_html__20220120191019.html,106849
University of Sydney,9000003,AU,Public,R1,integrity,20220521025229,200,R43TETMFC5XOJABJZ5WBK3JTL4XSJYYM,https://www.sydney.edu.au/students/academic-integrity.html,,data/snapshots_raw/9000003/integrity/www_sydney_edu_au_students_academic_integrity_html__20220521025229.html,108334
University of Sydney,9000003,AU,Public,R1,integrity,20221108113700,200,LZOTX3UKXLN6BJOPC5NXHKNLI3BWB2HZ,https://www.sydney.edu.au/students/academic-integrity.html,,data/snapshots_raw/9000003/integrity/www_sydney_edu_au_students_academic_integrity_html__20221108113700.html,109137
University of Sydney,9000003,AU,Public,R1,integrity,20230201155824,200,GD44SMY2ZBK4A2TY67ZEHRHACXUK5JLJ,https://www.sydney.edu.au/students/academic-integrity.html,,data/snapshots_raw/9000003/integrity/www_sydney_edu_au_students_academic_integrity_html__20230201155824.html,109614
University of Sydney,9000003,AU,Public,R1,integrity,20230605202315,200,PNEKNQEYDL3JK6VKYPWN266CS5FKEV3L,https://www.sydney.edu.au/students/academic-integrity.html,,data/snapshots_raw/9000003/integrity/www_sydney_edu_au_students_academic_integrity_html__20230605202315.html,113049
University of Sydney,9000003,AU,Public,R1,integrity,20231204000300,200,TYKHEGSM2MNVWMB7WAFILMGURQPO553K,https://www.sydney.edu.au/students/academic-integrity.html,,data/snapshots_raw/9000003/integrity/www_sydney_edu_au_students_academic_integrity_html__20231204000300.html,115809
University of Sydney,9000003,AU,Public,R1,integrity,20240224154509,200,AQMTXDNBB7LF4DM75M7PVHWV5BE3Z352,https://www.sydney.edu.au/students/academic-integrity.html,,data/snapshots_raw/9000003/integrity/www_sydney_edu_au_students_academic_integrity_html__20240224154509.html,17044
University of Sydney,9000003,AU,Public,R1,integrity,20240423142840,200,JWSYE3TR2WZASJ4I35NAJSXD2I6FEX63,https://www.sydney.edu.au/students/academic-integrity.html,,data/snapshots_raw/9000003/integrity/www_sydney_edu_au_students_academic_integrity_html__20240423142840.html,114224
University of Sydney,9000003,AU,Public,R1,integrity,20240620041815,200,ARKEWWUJFKYXG2EAKROYKDQH6SLQVA4N,https://www.sydney.edu.au/students/academic-integrity.html,,data/snapshots_raw/9000003/integrity/www_sydney_edu_au_students_academic_integrity_html__20240620041815.html,17054
University of Sydney,9000003,AU,Public,R1,integrity,20240723113847,200,CSTEERHSHNEQZ4M3A7K57LCZ5PRUQOAS,https://www.sydney.edu.au/students/academic-integrity.html,,data/snapshots_raw/9000003/integrity/www_sydney_edu_au_students_academic_integrity_html__20240723113847.html,118574
University of Sydney,9000003,AU,Public,R1,integrity,20240802060719,200,A4DHQWCFDNJ624TTYNEHHSPJRXNZCDHD,https://www.sydney.edu.au/students/academic-integrity.html,,data/snapshots_raw/9000003/integrity/www_sydney_edu_au_students_academic_integrity_html__20240802060719.html,20548
University of Sydney,9000003,AU,Public,R1,integrity,20241007224532,200,KFYOYKTSTHM3EOG7VTFVUHDVJFJ44PSA,https://www.sydney.edu.au/students/academic-integrity.html,,data/snapshots_raw/9000003/integrity/www_sydney_edu_au_students_academic_integrity_html__20241007224532.html,20338
University of Sydney,9000003,AU,Public,R1,integrity,20241127005543,200,3U4LR6YYSVNTTFNIVRE2ATCC2IM5VBU3,https://www.sydney.edu.au/students/academic-integrity.html,,data/snapshots_raw/9000003/integrity/www_sydney_edu_au_students_academic_integrity_html__20241127005543.html,40209
University of Sydney,9000003,AU,Public,R1,ai,20241005212702,200,3I3244AANH5AXSMJN5FB3V5YZOI4HLMY,https://www.sydney.edu.au/students/academic-integrity/artificial-intelligence.html,,data/snapshots_raw/9000003/ai/www_sydney_edu_au_students_academic_integrity_artificial_intelligence_html__20241005212702.html,19497
University of Sydney,9000003,AU,Public,R1,ai,20241015230733,200,N6BOZEUEHGR7XG5J5IBQDZKTZFCCM5UY,https://www.sydney.edu.au/students/academic-integrity/artificial-intelligence.html,,data/snapshots_raw/9000003/ai/www_sydney_edu_au_students_academic_integrity_artificial_intelligence_html__20241015230733.html,109222
University of Sydney,9000003,AU,Public,R1,ai,20241218144522,200,ZMNFB4CSR7YQ2E3CU7QMID7B4WKKFA7M,https://www.sydney.edu.au/students/academic-integrity/artificial-intelligence.html,,data/snapshots_raw/9000003/ai/www_sydney_edu_au_students_academic_integrity_artificial_intelligence_html__20241218144522.html,163962
University of Wollongong,9000004,AU,Public,R2,integrity,20210307144759,200,HH2BK6NKSXYCX6LJQTCKFRTUYWY5UHJ4,https://www.uow.edu.au/about/governance/academic-integrity/,,data/snapshots_raw/9000004/integrity/www_uow_edu_au_about_governance_academic_integrity__20210307144759.html,35840
University of Wollongong,9000004,AU,Public,R2,integrity,20210420100852,200,223EAIAX4MPACUJTOIHGQOXAI2MXP2PD,https://www.uow.edu.au/about/governance/academic-integrity/,,data/snapshots_raw/9000004/integrity/www_uow_edu_au_about_governance_academic_integrity__20210420100852.html,35690
University of Wollongong,9000004,AU,Public,R2,integrity,20220301235725,200,IBNY353M34KOGHT37ACERQH5E3AAZRVH,https://www.uow.edu.au/about/governance/academic-integrity/,,data/snapshots_raw/9000004/integrity/www_uow_edu_au_about_governance_academic_integrity__20220301235725.html,36481
University of Wollongong,9000004,AU,Public,R2,integrity,20220307153210,200,UYTAQYGCNV4UBU3TW6TS6LWWXFMIHILA,https://www.uow.edu.au/about/governance/academic-integrity/,,data/snapshots_raw/9000004/integrity/www_uow_edu_au_about_governance_academic_integrity__20220307153210.html,36534
University of Wollongong,9000004,AU,Public,R2,integrity,20221017203537,200,7SLSIA6HR2SEEAQMVXVBTWPN3BJLCXXW,https://www.uow.edu.au/about/governance/academic-integrity/,,data/snapshots_raw/9000004/integrity/www_uow_edu_au_about_governance_academic_integrity__20221017203537.html,36809
University of Wollongong,9000004,AU,Public,R2,integrity,20221104054001,200,7R7J3PRWKLRKPTL7UFM2R3HWVTNOUD4L,https://www.uow.edu.au/about/governance/academic-integrity/,,data/snapshots_raw/9000004/integrity/www_uow_edu_au_about_governance_academic_integrity__20221104054001.html,8434
University of Wollongong,9000004,AU,Public,R2,integrity,20230307065603,200,KKXYBXZEXQRK6MSILFSXG3B3DDPV56TX,https://www.uow.edu.au/about/governance/academic-integrity/,,data/snapshots_raw/9000004/integrity/www_uow_edu_au_about_governance_academic_integrity__20230307065603.html,37146
University of Wollongong,9000004,AU,Public,R2,integrity,20231105060948,200,7COOIRDBZIJ5KQ2ILC6MHIJQUFF2VT2L,https://www.uow.edu.au/about/governance/academic-integrity/,,data/snapshots_raw/9000004/integrity/www_uow_edu_au_about_governance_academic_integrity__20231105060948.html,37311
