institution,state,control,carnegie,country,domain,integrity_url,guidance_url,pilot,unitid,exposure_year,total_enroll,nonresident_alien,intl_share
Curtin University,AU,Public,R2,AU,curtin.edu.au,https://www.curtin.edu.au/about/governance/academic-integrity/,,1,9000001,2022,,,0.2477
Griffith University,AU,Public,R2,AU,griffith.edu.au,https://www.griffith.edu.au/academic-integrity,https://www.griffith.edu.au/academic-integrity/why-ai-matters,1,9000002,2022,,,0.1611
University of Sydney,AU,Public,R1,AU,sydney.edu.au,https://www.sydney.edu.au/students/academic-integrity.html,https://www.sydney.edu.au/students/academic-integrity/artificial-intelligence.html,1,9000003,2022,,,0.4749
University of Wollongong,AU,Public,R2,AU,uow.edu.au,https://www.uow.edu.au/about/governance/academic-integrity/,https://www.uow.edu.au/about/governance/academic-integrity/students/ai_chatgpt/,1,9000004,2022,,,0.3867
McMaster University,CA,Public,R1,CA,mcmaster.ca,https://www.mcmaster.ca/academicintegrity/,,1,9000005,2022,,,
Queen's University,CA,Public,R1,CA,queensu.ca,https://www.queensu.ca/academicintegrity/,https://www.queensu.ca/academicintegrity/ai-queens,1,9000006,2022,,,
Toronto Metropolitan University,CA,Public,R2,CA,torontomu.ca,https://www.torontomu.ca/academicintegrity/,https://www.torontomu.ca/academicintegrity/ai/,1,9000007,2022,,,
University of British Columbia,CA,Public,R1,CA,ubc.ca,https://academicintegrity.ubc.ca/,https://academicintegrity.ubc.ca/2023/02/15/the-opportunities-of-chatgpt/,1,9000008,2022,,,
University of Guelph,CA,Public,R2,CA,uoguelph.ca,https://academicintegrity.uoguelph.ca/,,1,9000009,2022,,,
University of Manitoba,CA,Public,R1,CA,umanitoba.ca,https://umanitoba.ca/academicintegrity/month/,,1,9000010,2022,,,
University of Toronto,CA,Public,R1,CA,utoronto.ca,https://www.academicintegrity.utoronto.ca/,https://www.academicintegrity.utoronto.ca/perils-and-pitfalls/using-chatgpt-or-other-ai-tool-on-a-marked-assessment/,1,9000011,2022,,,
University of Waterloo,CA,Public,R1,CA,uwaterloo.ca,https://uwaterloo.ca/academic-integrity/,https://uwaterloo.ca/academic-integrity/artificial-intelligence-and-chatgpt,1,9000012,2022,,,
University of Windsor,CA,Public,R2,CA,uwindsor.ca,https://www.uwindsor.ca/academic-integrity/,,1,9000013,2022,,,
Imperial College London,UK,Public,R1,UK,imperial.ac.uk,http://www.imperial.ac.uk/about/governance/academic-governance/academic-policy/complaints-appeals-and-discipline/,https://www.imperial.ac.uk/students/academic-support/ai-and-study-guidance-hub/,1,9000014,2021,,,0.5272
