institution,unitid,page_type,original_url,timestamp,ai_addressed,n_ai_terms,text_len,prohibition,prohibition_present,detector_surveillance,detector_surveillance_present,misconduct_framing,misconduct_framing_present,sanction,sanction_present,permitted_use,permitted_use_present,disclosure,disclosure_present,appeal,appeal_present,l2_protection,l2_protection_present,restrictive_idx,procedural_idx,net_restrictiveness,ai_governance_intensity
Curtin University,9000001,integrity,http://www.curtin.edu.au/about/governance/academic-integrity/,20230927181848,0,0,1645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtin University,9000001,integrity,https://www.curtin.edu.au/about/governance/academic-integrity/,20220802113308,0,0,1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtin University,9000001,integrity,https://www.curtin.edu.au/about/governance/academic-integrity/,20220812154058,0,0,1450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtin University,9000001,integrity,https://www.curtin.edu.au/about/governance/academic-integrity/,20221024224543,0,0,1487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtin University,9000001,integrity,https://www.curtin.edu.au/about/governance/academic-integrity/,20221204155855,0,0,1510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtin University,9000001,integrity,https://www.curtin.edu.au/about/governance/academic-integrity/,20230306103413,0,0,1518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtin University,9000001,integrity,https://www.curtin.edu.au/about/governance/academic-integrity/,20230331222122,0,0,1526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtin University,9000001,integrity,https://www.curtin.edu.au/about/governance/academic-integrity/,20230528200941,0,0,1522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtin University,9000001,integrity,https://www.curtin.edu.au/about/governance/academic-integrity/,20231117023507,0,0,1613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtin University,9000001,integrity,https://www.curtin.edu.au/about/governance/academic-integrity/,20240109103646,0,0,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtin University,9000001,integrity,https://www.curtin.edu.au/about/governance/academic-integrity/,20240327232112,0,0,1661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtin University,9000001,integrity,https://www.curtin.edu.au/about/governance/academic-integrity/,20240501234444,0,0,1661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtin University,9000001,integrity,https://www.curtin.edu.au/about/governance/academic-integrity/,20240722082525,0,0,1692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
