metric,value
pct_students_no_elected_board,79.6
n_elected_boards,8.0
enroll_share_elected,20.4
enroll_share_governor,60.6
n_no_board,4.0
pct_boards_is_elected,17.0
pct_boards_student_voting,12.8
pct_boards_teacher_voting,12.8
pct_boards_student_present,46.8
pct_boards_set_standards,91.5
pct_boards_constitutional,53.2
spearman_rep_auth,-0.016
quadrant_hi_auth_lo_rep,30.0
corner_count,16.0
spearman_rep_auth_noentrench,-0.206
spearman_rep_entrench,0.184
mean_rep_index,0.177
mean_auth_index,0.755
mean_gap,0.578
soc_appointed_boards,45.2
soc_elected_boards,49.1
soc_diff_p,0.63
soc_under_elected_pct,21.6
white_under_elected_pct,18.9
ols_soc_coef,0.00194
ols_soc_p,0.462
pct_no_elected_board_nm,78.9
spearman_rep_soc,0.14
soc_gap_ci_lo,-19.4
soc_gap_ci_hi,9.4
pct_boards_algorithmic_grade,48.9
pct_students_algorithmic_grade,48.3
rep_algo_diff_p,0.5853
spearman_rep_algo,0.086
stringency_n,46.0
stringency_elected,246.2
stringency_other,242.0
stringency_ttest_p,0.133
stringency_ols_rep_coef,5.53
stringency_ols_rep_p,0.258
stringency_spearman,0.155
stringency_spearman_p,0.303
